data,conta,account_id,campaign_id,campaign_name,adset_id,adset_name,gasto,impressoes,alcance,frequencia,cpm,cliques_link,ctr_link,ctr_todos,cpc_link,conversas,custo_conversa,status_atual,orcamento_diario_atual
2026-07-22,C 01,1558358552479442,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464770278,[AFS] [F3] [NOMVULA MOKOENA] V4,0.95,689,689,1,1.38,26,3.7736,6.5312,0.0365,56,0.017,PAUSED,1
2026-07-22,C 01,1558358552479442,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464780278,[AFS] [F3] [NOMVULA MOKOENA] V5,1.03,627,605,1.0364,1.64,28,4.4657,13.0782,0.0368,64,0.0161,PAUSED,1
2026-07-22,C 01,1558358552479442,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464790278,[AFS] [F3] [NOMVULA MOKOENA] V2,0.72,384,378,1.0159,1.88,37,9.6354,15.8854,0.0195,49,0.0147,PAUSED,1
2026-07-22,C 01,1558358552479442,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464800278,[AFS] [F3] [NOMVULA MOKOENA] V1,0.99,516,499,1.0341,1.92,33,6.3953,14.7287,0.03,58,0.0171,PAUSED,1
2026-07-22,C 01,1558358552479442,120247359464690278,[E1] [MKUKER] [AFS] [F3] [NOMVULA MOKOENA] [ISABELA RIBEIRO],120247359464810278,[AFS] [F3] [NOMVULA MOKOENA] V3,0.99,591,581,1.0172,1.68,22,3.7225,8.4602,0.045,35,0.0283,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141400278,[AFS] [F3] [CHIPO MOYO]  V1,1,540,527,1.0247,1.85,48,8.8889,13.8889,0.0208,38,0.0263,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141410278,[AFS] [F3] [CHIPO MOYO]  V6,0.95,1031,1018,1.0128,0.92,59,5.7226,6.3046,0.0161,56,0.017,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141440278,[AFS] [F3] [CHIPO MOYO]  V3,0.99,792,792,1,1.25,46,5.8081,11.6162,0.0215,66,0.015,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141470278,[AFS] [F3] [CHIPO MOYO]  V5,0.94,754,736,1.0245,1.25,54,7.1618,12.4668,0.0174,57,0.0165,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141480278,[AFS] [F3] [CHIPO MOYO]  V4,0.92,901,901,1,1.02,45,4.9945,5.7714,0.0204,62,0.0148,,
2026-07-22,C 01,1558358552479442,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141490278,[AFS] [F3] [CHIPO MOYO]  V2,1.05,924,924,1,1.14,71,7.684,10.1732,0.0148,89,0.0118,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356770278,[AFS] [F3] [FATOUMATA TRAORE] V4,1.06,740,726,1.0193,1.43,71,9.5946,13.6486,0.0149,86,0.0123,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356790278,[AFS] [F3] [FATOUMATA TRAORE] V6,1.01,527,506,1.0415,1.92,46,8.7287,15.1803,0.022,62,0.0163,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356800278,[AFS] [F3] [FATOUMATA TRAORE] V5,0.95,541,541,1,1.76,30,5.5453,9.7967,0.0317,47,0.0202,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356810278,[AFS] [F3] [FATOUMATA TRAORE] V3,1.02,541,537,1.0074,1.89,30,5.5453,7.9482,0.034,48,0.0213,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356820278,[AFS] [F3] [FATOUMATA TRAORE] V2,1.03,546,546,1,1.89,35,6.4103,10.989,0.0294,52,0.0198,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356830278,[AFS] [F3] [FATOUMATA TRAORE] V1,1.11,907,901,1.0067,1.22,97,10.6946,15.4355,0.0114,114,0.0097,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247360531070278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247360531040278,[AFS] [F3] [AMINATA DIALLO] V1,0.94,577,577,1,1.63,53,9.1854,17.6776,0.0177,64,0.0147,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360531070278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247360531120278,[AFS] [F3] [AMINATA DIALLO] V3,0.97,705,705,1,1.38,32,4.539,12.766,0.0303,72,0.0135,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360531070278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247360531130278,[AFS] [F3] [AMINATA DIALLO] V5,0.95,665,653,1.0184,1.43,39,5.8647,14.1353,0.0244,66,0.0144,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360531070278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247360531140278,[AFS] [F3] [AMINATA DIALLO] V6,0.96,918,903,1.0166,1.05,70,7.6253,8.6057,0.0137,68,0.0141,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247360531070278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247360531150278,[AFS] [F3] [AMINATA DIALLO]V4,0.96,740,706,1.0482,1.3,40,5.4054,7.8378,0.024,73,0.0132,PAUSED,1
2026-07-22,C 01,1558358552479442,120247360531070278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247360531160278,[AFS] [F3] [AMINATA DIALLO] V2,0.97,807,807,1,1.2,46,5.7001,9.1698,0.0211,81,0.012,PAUSED,1
2026-07-22,C 01,1558358552479442,120247382249440278,[MKUKER] [AFS_RELA_EN_BOT_0001] [NOURBESE],120247382249470278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V3,0.97,726,713,1.0182,1.34,42,5.7851,12.6722,0.0231,69,0.0141,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247382249440278,[MKUKER] [AFS_RELA_EN_BOT_0001] [NOURBESE],120247382249520278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V1,1.03,740,714,1.0364,1.39,45,6.0811,8.2432,0.0229,47,0.0219,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247382249440278,[MKUKER] [AFS_RELA_EN_BOT_0001] [NOURBESE],120247382249530278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V2,1,743,726,1.0234,1.35,127,17.0929,23.284,0.0079,98,0.0102,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247382249440278,[MKUKER] [AFS_RELA_EN_BOT_0001] [NOURBESE],120247382249540278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V5,1.01,831,829,1.0024,1.22,213,25.6318,32.2503,0.0047,152,0.0066,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247382249440278,[MKUKER] [AFS_RELA_EN_BOT_0001] [NOURBESE],120247382249550278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V6,1.06,1107,1088,1.0175,0.96,56,5.0587,5.2394,0.0189,66,0.0161,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247382249440278,[MKUKER] [AFS_RELA_EN_BOT_0001] [NOURBESE],120247382249560278,[AFS_RELA_EN_BOT_0001] [NOURBESE] V4,0.88,817,817,1,1.08,44,5.3856,6.12,0.02,33,0.0267,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247382322970278,[E1] [MKUKER] [AFS] [F3] [WANGARI KAMAU] [ISABELA RIBEIRO],120247382323040278,[AFS] [F3] [WANGARI KAMAU] V4,0.95,1225,1203,1.0183,0.78,79,6.449,7.7551,0.012,79,0.012,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247382322970278,[E1] [MKUKER] [AFS] [F3] [WANGARI KAMAU] [ISABELA RIBEIRO],120247382323050278,[AFS] [F3] [WANGARI KAMAU] V6,0.98,1083,1081,1.0018,0.9,57,5.2632,6.3712,0.0172,75,0.0131,PAUSED,1
2026-07-22,C 01,1558358552479442,120247382322970278,[E1] [MKUKER] [AFS] [F3] [WANGARI KAMAU] [ISABELA RIBEIRO],120247382323060278,[AFS] [F3] [WANGARI KAMAU] V5,0.95,1187,1154,1.0286,0.8,76,6.4027,6.3185,0.0125,85,0.0112,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247382322970278,[E1] [MKUKER] [AFS] [F3] [WANGARI KAMAU] [ISABELA RIBEIRO],120247382323070278,[AFS] [F3] [WANGARI KAMAU] V2,0.94,1123,1115,1.0072,0.84,53,4.7195,5.699,0.0177,46,0.0204,PAUSED,1
2026-07-22,C 01,1558358552479442,120247382322970278,[E1] [MKUKER] [AFS] [F3] [WANGARI KAMAU] [ISABELA RIBEIRO],120247382323080278,[AFS] [F3] [WANGARI KAMAU] V3,0.95,1225,1225,1,0.78,72,5.8776,6.7755,0.0132,52,0.0183,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247382322970278,[E1] [MKUKER] [AFS] [F3] [WANGARI KAMAU] [ISABELA RIBEIRO],120247382323090278,[AFS] [F3] [WANGARI KAMAU] V1,0.98,1116,1100,1.0145,0.88,77,6.8996,7.6165,0.0127,65,0.0151,PAUSED,1
2026-07-22,C 01,1558358552479442,120247461971670278,E6[MKUKER] [AFS_RELA_EN_BOT_0001] [ADAMMA],120247461971660278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V1,0.13,69,69,1,1.88,5,7.2464,13.0435,0.026,4,0.0325,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247461971670278,E6[MKUKER] [AFS_RELA_EN_BOT_0001] [ADAMMA],120247462052200278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V2,0.11,83,83,1,1.33,11,13.253,16.8675,0.01,7,0.0157,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247461971670278,E6[MKUKER] [AFS_RELA_EN_BOT_0001] [ADAMMA],120247462054640278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V3,0.07,41,40,1.025,1.71,3,7.3171,7.3171,0.0233,2,0.035,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247461971670278,E6[MKUKER] [AFS_RELA_EN_BOT_0001] [ADAMMA],120247462063520278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V4,0.07,38,38,1,1.84,4,10.5263,18.4211,0.0175,2,0.035,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247461971670278,E6[MKUKER] [AFS_RELA_EN_BOT_0001] [ADAMMA],120247462073710278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V5,0.23,101,101,1,2.28,7,6.9307,10.8911,0.0329,6,0.0383,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247461971670278,E6[MKUKER] [AFS_RELA_EN_BOT_0001] [ADAMMA],120247462083520278,[AFS_RELA_EN_BOT_0001] [ADAMMA] V6,0.11,87,87,1,1.26,2,2.2989,3.4483,0.055,4,0.0275,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247488168210278,[E1] [MKUKER] [AFS] [F3] [BONTLE MODISE] [ISABELA RIBEIRO],120247488168300278,[AFS] [F3] [BONTLE MODISE] V1,0.97,639,634,1.0079,1.52,83,12.989,22.3787,0.0117,58,0.0167,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247488168210278,[E1] [MKUKER] [AFS] [F3] [BONTLE MODISE] [ISABELA RIBEIRO],120247488215910278,[AFS] [F3] [BONTLE MODISE] V2,1.1,741,740,1.0014,1.48,123,16.5992,23.8866,0.0089,96,0.0115,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247488168210278,[E1] [MKUKER] [AFS] [F3] [BONTLE MODISE] [ISABELA RIBEIRO],120247488220950278,[AFS] [F3] [BONTLE MODISE] V3,0.96,574,546,1.0513,1.67,37,6.446,10.9756,0.0259,40,0.024,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247488168210278,[E1] [MKUKER] [AFS] [F3] [BONTLE MODISE] [ISABELA RIBEIRO],120247488225850278,[AFS] [F3] [BONTLE MODISE] V4,1.07,638,636,1.0031,1.68,38,5.9561,13.9498,0.0282,75,0.0143,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247488168210278,[E1] [MKUKER] [AFS] [F3] [BONTLE MODISE] [ISABELA RIBEIRO],120247488230320278,[AFS] [F3] [BONTLE MODISE] V5,1.03,883,872,1.0126,1.17,45,5.0963,9.8528,0.0229,76,0.0136,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247488168210278,[E1] [MKUKER] [AFS] [F3] [BONTLE MODISE] [ISABELA RIBEIRO],120247488234950278,[AFS] [F3] [BONTLE MODISE] V6,1.06,604,583,1.036,1.75,37,6.1258,11.755,0.0286,32,0.0331,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488259330278,[E1] [MKUKER] [AFS] [F3] [LUNGILE HADEBE] [ISABELA RIBEIRO],120247488259350278,[AFS] [F3] [LUNGILE HADEBE] V1,1.06,989,982,1.0071,1.07,76,7.6845,11.5268,0.0139,80,0.0133,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247488259330278,[E1] [MKUKER] [AFS] [F3] [LUNGILE HADEBE] [ISABELA RIBEIRO],120247488354910278,[AFS] [F3] [LUNGILE HADEBE] V2,1.15,707,702,1.0071,1.63,45,6.3649,7.7793,0.0256,58,0.0198,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488259330278,[E1] [MKUKER] [AFS] [F3] [LUNGILE HADEBE] [ISABELA RIBEIRO],120247488362150278,[AFS] [F3] [LUNGILE HADEBE] V3,1.03,821,800,1.0263,1.25,58,7.0646,8.039,0.0178,53,0.0194,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488259330278,[E1] [MKUKER] [AFS] [F3] [LUNGILE HADEBE] [ISABELA RIBEIRO],120247488368490278,[AFS] [F3] [LUNGILE HADEBE] V4,1.05,631,630,1.0016,1.66,25,3.962,6.3391,0.042,26,0.0404,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488259330278,[E1] [MKUKER] [AFS] [F3] [LUNGILE HADEBE] [ISABELA RIBEIRO],120247488373900278,[AFS] [F3] [LUNGILE HADEBE] V5,1.13,1049,1049,1,1.08,63,6.0057,7.1497,0.0179,68,0.0166,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488259330278,[E1] [MKUKER] [AFS] [F3] [LUNGILE HADEBE] [ISABELA RIBEIRO],120247488419540278,[AFS] [F3] [LUNGILE HADEBE] V6,1,672,664,1.012,1.49,65,9.6726,15.7738,0.0154,64,0.0156,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488474000278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247488474100278,[AFS] [F3] [LERATO MAHLANGU] V1,1.02,1054,1043,1.0105,0.97,51,4.8387,8.1594,0.02,78,0.0131,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247488474000278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247488538970278,[AFS] [F3] [LERATO MAHLANGU] V2,1.13,719,719,1,1.57,41,5.7024,7.0932,0.0276,38,0.0297,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488474000278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247488660110278,[AFS] [F3] [LERATO MAHLANGU] V3,1.08,673,647,1.0402,1.6,42,6.2407,13.0758,0.0257,75,0.0144,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488474000278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247488793560278,[AFS] [F3] [LERATO MAHLANGU] V4,0.95,582,560,1.0393,1.63,25,4.2955,8.7629,0.038,40,0.0238,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488474000278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247488827940278,[AFS] [F3] [LERATO MAHLANGU] V5,1.06,866,866,1,1.22,126,14.5497,25.6351,0.0084,125,0.0085,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247488474000278,[E1] [MKUKER] [AFS] [F3] [LERATO MAHLANGU] [ISABELA RIBEIRO],120247488854820278,[AFS] [F3] [LERATO MAHLANGU] V6,1.03,579,577,1.0035,1.78,41,7.0812,12.9534,0.0251,51,0.0202,CAMPAIGN_PAUSED,1
2026-07-22,C 01,1558358552479442,120247488930090278,[E1] [MKUKER] [AFS] [F3] [NOURBESE ACHEBE] [ISABELA RIBEIRO],120247488930200278,[AFS] [F3] [NOURBESE ACHEBE] V1,0.94,571,568,1.0053,1.65,33,5.7793,8.9317,0.0285,38,0.0247,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488930090278,[E1] [MKUKER] [AFS] [F3] [NOURBESE ACHEBE] [ISABELA RIBEIRO],120247488968980278,[AFS] [F3] [NOURBESE ACHEBE] V2,1.01,666,666,1,1.52,70,10.5105,15.7658,0.0144,56,0.018,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488930090278,[E1] [MKUKER] [AFS] [F3] [NOURBESE ACHEBE] [ISABELA RIBEIRO],120247488989090278,[AFS] [F3] [NOURBESE ACHEBE] V3,0.94,462,461,1.0022,2.03,24,5.1948,12.987,0.0392,42,0.0224,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488930090278,[E1] [MKUKER] [AFS] [F3] [NOURBESE ACHEBE] [ISABELA RIBEIRO],120247489010590278,[AFS] [F3] [NOURBESE ACHEBE] V4,0.94,527,518,1.0174,1.78,37,7.0209,12.5237,0.0254,41,0.0229,PAUSED,1
2026-07-22,C 01,1558358552479442,120247488930090278,[E1] [MKUKER] [AFS] [F3] [NOURBESE ACHEBE] [ISABELA RIBEIRO],120247489016960278,[AFS] [F3] [NOURBESE ACHEBE] V5,1.01,802,802,1,1.26,49,6.1097,16.0848,0.0206,83,0.0122,,
